=== BUILD_T0 2026-09-10T06:06:33Z OLEANS_BEFORE=3608
✔ [2257/2273] Built Mathlib.LinearAlgebra.Matrix.Action (5.3s)
✔ [2258/2273] Built Mathlib.RingTheory.FiniteType (13s)
✔ [2259/2275] Built Mathlib.Algebra.Order.Ring.GeomSum (3.8s)
✔ [2260/2275] Built Mathlib.Data.Nat.Choose.Central (3.6s)
✔ [2261/2275] Built Mathlib.GroupTheory.Perm.Fin (8.4s)
✔ [2262/2285] Built Mathlib.LinearAlgebra.FreeModule.StrongRankCondition (2.7s)
✔ [2264/2285] Built Mathlib.Data.Nat.Digits.Defs (4.8s)
✔ [2265/2285] Built Mathlib.RingTheory.Multiplicity (11s)
✔ [2266/2289] Built Mathlib.Data.Nat.Digits.Lemmas (8.3s)
✔ [2267/2290] Built Mathlib.LinearAlgebra.Matrix.Determinant.Basic (13s)
✔ [2268/2291] Built Mathlib.NumberTheory.Padics.PadicVal.Defs (2.7s)
✔ [2269/2291] Built Mathlib.Algebra.MonoidAlgebra.Division (3.8s)
✔ [2270/2291] Built Mathlib.LinearAlgebra.Matrix.Polynomial (3.0s)
✔ [2272/2291] Built Mathlib.LinearAlgebra.Matrix.MvPolynomial (3.4s)
✔ [2273/2293] Built Mathlib.RingTheory.TensorProduct.Basic (28s)
✔ [2274/2293] Built Mathlib.LinearAlgebra.Matrix.Reindex (4.7s)
✔ [2275/2293] Built Mathlib.Data.Nat.Factorization.Defs (4.3s)
✔ [2276/2293] Built Mathlib.Algebra.Polynomial.Inductions (4.1s)
✔ [2277/2293] Built Mathlib.Algebra.Field.Subfield.Basic (8.5s)
✔ [2278/2293] Built Mathlib.GroupTheory.GroupAction.FixedPoints (4.5s)
✔ [2279/2293] Built Mathlib.LinearAlgebra.Matrix.Adjugate (8.5s)
✔ [2280/2293] Built Mathlib.LinearAlgebra.Matrix.Kronecker (13s)
✔ [2281/2293] Built Mathlib.LinearAlgebra.Matrix.Transvection (9.6s)
✔ [2282/2293] Built Mathlib.Data.Nat.Factorization.Basic (6.5s)
✔ [2283/2297] Built Mathlib.LinearAlgebra.Matrix.Basis (8.4s)
✔ [2284/2305] Built Mathlib.GroupTheory.GroupAction.FixingSubgroup (4.2s)
✔ [2293/2309] Built Mathlib.Data.Nat.Choose.Factorization (5.3s)
✔ [2294/2309] Built Mathlib.Algebra.Polynomial.Div (9.3s)
✔ [2296/2310] Built Mathlib.LinearAlgebra.Matrix.NonsingularInverse (10s)
✔ [2297/2311] Built Mathlib.RingTheory.OreLocalization.Ring (6.9s)
✔ [2299/2312] Built Mathlib.Data.Nat.Multiplicity (3.9s)
✔ [2300/2312] Built Mathlib.Data.Nat.Cast.Field (2.7s)
✔ [2301/2312] Built Mathlib.Algebra.Polynomial.RingDivision (6.1s)
✔ [2302/2318] Built Mathlib.Data.Finsupp.Weight (7.8s)
✔ [2303/2318] Built Mathlib.Data.Nat.Factorization.Induction (3.9s)
✔ [2304/2321] Built Mathlib.Algebra.CharP.Lemmas (5.0s)
✔ [2305/2321] Built Mathlib.Algebra.CharP.Basic (2.3s)
✔ [2306/2321] Built Mathlib.Algebra.GroupWithZero.Units.Fintype (2.5s)
✔ [2308/2326] Built Mathlib.Order.Filter.TendstoCofinite (3.7s)
✔ [2310/2326] Built Mathlib.RingTheory.Localization.Defs (12s)
✔ [2311/2328] Built Mathlib.Algebra.CharP.Frobenius (3.2s)
✔ [2312/2328] Built Mathlib.Algebra.Ring.AddAut (2.0s)
✔ [2313/2335] Built Mathlib.Data.Nat.Factorization.LCM (2.9s)
✔ [2314/2335] Built Mathlib.Algebra.CharP.Reduced (3.5s)
